Mera Naam Joker,Raj Kapoor:Rajendra Kumar,Drama,Easy,Hindi,db231327-56c7-45e2-bcf4-d9868a0a28c7
Purab Aur Paschim,Manoj Kumar:Saira Banu,Drama,Easy,Hindi,0789db07-f760-4d1c-b197-d3105b978608
Aan Milo Sajna,Asha Parekh:Rajesh Khanna:Vinod Khanna,Drama,Difficult,Hindi,0dfac9e1-56cf-4d79-9524-8e777d0f4ac6
Anand,Rajesh Khanna:Amitabh Bachchan,Drama,Easy,Hindi,647110fb-282a-4d47-b665-28793018ba57
Sholay,Dharmendra:Amitabh Bachchan,Drama,Easy,Hindi,c651bcd6-7c0d-4dfb-bb60-5c1779f1660f
Deewaar,Amitabh Bachchan:Shashi Kapoor:Neetu Singh,Drama,Easy,Hindi,6942ea3d-f586-45a9-b2ec-dc1bcd601411
Chupke Chupke,Dharmendra:Amitabh Bachchan:Jaya Badhuri:Sharmila Tagore,Romance,Easy,Hindi,fe7bd164-4137-412c-8dd8-25c4e83e9bc5
Chhoti Si Baat,Ashok Kumar:Vidya Sinha:Amol Palekar,Romance:Comedy,Easy,Hindi,94160fdc-4924-4cc0-9215-bc0ada2d0dfa
Gol Maal,Amol Palekar:Utpal Dutt,Comedy,Easy,Hindi,46d6631f-ec73-4558-8441-f15f4c704f90
Bol Radha Bol,Rishi Kapoor:Juhi Chawla:Kader Khan,Comedy:Drama,Easy,Hindi,12404009-248c-4b69-b5ee-0b9677bf0613
Mr. Natwarlal,Amitabh Bachchan:Rekha:Amjad Khan,Action Drama,Easy,Hindi,d3cbe12d-8867-4cb7-b6d0-6a3faf82ecc1
Raja Hindustani,Karisma Kapoor:Aamir Khan,Romance,Easy,Hindi,af32fda6-0d96-4d74-9e67-a7de8b216a35
Ghatak,Sunny Deol:Meenakshi Seshadri:Amrish Puri:Om Puri:Danny Denzongpa,Action:Romance,Difficult,Hindi,98b9835e-3288-47fd-8b2c-0968cb33d4fc
Kuch Kuch Hota Hai,Shahrukh Khan:Kajol:Rani Mukerji:Salman Khan,Drama:Romance,Easy,Hindi,1f58ab75-db2c-4a42-bf20-49df423a799f
Major Saab,Amitabh Bachchan:Ajay Devgan:Sonali Bendre,Action:Drama,Easy,Hindi,c87a7d07-8fec-4add-b810-0ecf85168081
Pyaar Kiya To Darna Kya,Salman Khan:Kajol:Arbaaz Khan,Romance:Comedy,Easy,Hindi,f1cc8dc9-dc09-4089-bf29-ef7b5ef31b31
Pyaar To Hona Hi Tha,Ajay Devgan:Kajol,Romance,Easy,Hindi,23ba830e-509c-4cf1-9bfd-1ef7a30a76b1
Satya,J. D. Chakravarthy:Urmila Matondkar:Manoj Bajpai,Action,Difficult,Hindi,2d3f0dc1-c034-4447-867d-4b30959b6ba2
Soldier,Bobby Deol:Preity Zinta,Romance:Action,Easy,Hindi,64eeefa5-b6e4-486a-b7fb-b60dc850945b
Hyderabad Blues,Nagesh Kukunoor�Rajshri Nair,Drama,Difficult,Hindi,9e15a2b7-f94c-4bee-ac3b-fc35ed03f4b1
Jab Pyaar Kisise Hota Hai,Salman Khan:Twinkle Khanna,Drama,Easy,Hindi,d6bd439e-8118-42a3-95c7-965dd23974c7
Jeans,Prashanth:Aishwarya Rai,Romance,Easy,Hindi,f1da3cd9-db88-4182-98e7-660dba2c0caf
Bandhan,Salman Khan:Rambha:Jackie Shroff,Action,Easy,Hindi,58d04797-c1a6-4b13-86b3-717d248efc81
Bombay Boys,Naveen Andrews:Rahul Bose:Naseeruddin Shah:Roshan Seth,Comedy drama,Easy,Hindi,b81ce8a7-e259-48cd-85f5-9201943c78d4
Chachi 420,Kamal Hassan:Tabu:Amrish Puri:Om Puri:Ayesha Jhulka,Comedy,Easy,Hindi,a6817a6f-62e8-445f-879b-96e67137b2db
China Gate,Samir Soni:Amrish Puri:Om Puri:Urmila Matondkar,Drama:Action,Easy,Hindi,dea60fa8-a837-4f11-9a35-e047d33c8efe
1947 Earth,Aamir Khan:Rahul Khanna:Nandita Das,Drama,Easy,Hindi,ab0a61a3-574d-4b12-9cc2-5ae2bf44b835
Ghulam,Aamir Khan:Rani Mukerji,Action:Drama,Easy,Hindi,53dfa7a7-b91c-42cf-8039-e13ee635511a
Dil Se,Shahrukh Khan:Manisha Koirala:Preity Zinta,Drama,Easy,Hindi,34ab3452-ae9e-4da6-84eb-4a4635e468ea
Dulhe Raja,Govinda:Raveena Tandon,Comedy,Easy,Hindi,72090b0b-a9f0-4153-a99c-bd1250fe06ef
Duplicate,Shahrukh Khan:Juhi Chawla:Sonali Bendre,Comedy,Easy,Hindi,472e1529-6e33-44a9-96b8-b030bd6c12db
Hu Tu Tu,Nana Patekar:Tabu:Sunil Shetty,Drama,Difficult,Hindi,dcd49ead-0379-40b8-bda5-1274b09a6f56
Hum Aapke Dil Mein Rehte Hain,Kajol:Anil Kapoor:Anupam Kher:Johny Lever,Romance:Drama,Easy,Hindi,15cc410b-20e5-4473-9e28-e40c7b796f74
Hum Dil De Chuke Sanam,Salman Khan:Ajay Devgan:Aishwarya Rai,Drama,Easy,Hindi,2b7d9f7b-cce7-4a2c-8774-e8467e517391
